best_epoch: 3
epoch,training_accuracy,training_loss,validation_accuracy,validation_loss
0,0.757545,1.417226,0.830882,0.694940
1,0.835010,0.550049,0.882353,0.461571
2,0.878270,0.411950,0.875000,0.412195
3,0.884306,0.415637,0.882353,0.462630
4,0.896378,0.352130,0.860294,0.514662
5,0.952716,0.237679,0.875000,0.445456
6,0.975855,0.185207,0.882353,0.521098
7,0.979879,0.177708,0.860294,0.534558
8,0.987928,0.148431,0.889706,0.479551
9,0.992958,0.128265,0.852941,0.570398
10,0.996982,0.108910,0.838235,0.652352
11,0.996982,0.105549,0.845588,0.664834
12,0.958753,0.221567,0.860294,0.558070
13,0.993964,0.114312,0.852941,0.578058
14,0.997988,0.097679,0.845588,0.609566
15,0.997988,0.093567,0.816176,0.689067
16,0.993964,0.100271,0.852941,0.664565
17,0.998994,0.091099,0.860294,0.564960
18,0.997988,0.087294,0.860294,0.590331
19,0.997988,0.090246,0.875000,0.548504
